game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
RETRO,pt,Abacabotas,abacabotas,tb_only,tb_filtered_base,True,item.8341.name | item.8895.name,item:8341,True,False,False,False,Abacabotas,,,,,kept_neologism,,,
RETRO,pt,Abacachila,abacachila,tb_only,tb_filtered_base,True,item.7581.name | item.8897.name,item:7581,True,False,False,False,Abacachila,,,,,kept_neologism,,,
RETRO,pt,Abacamáscara,abacamáscara,tb_only,tb_filtered_base,True,item.7422.name | item.8893.name,item:7422,True,False,False,False,Abacamáscara,,,,,kept_neologism,,,
RETRO,pt,Abacapa,abacapa,tb_only,tb_filtered_base,True,item.7999.name | item.8894.name,item:7999,True,False,False,False,Abacapa,,,,,kept_neologism,,,
RETRO,pt,Abebeh,abebeh,tb_only,tb_filtered_base,True,item.3744.name,item:3744,True,False,False,False,Abebeh,,,,,kept_neologism,,,
RETRO,pt,Abefun,abefun,tb_only,tb_filtered_base,True,item.4017.name,item:4017,True,False,False,False,Abefun,,,,,kept_neologism,,,
RETRO,pt,Abely,abely,tb_only,tb_filtered_base,True,npc.63.name,npc:63,True,False,False,False,Abely,,,,,kept_neologism,,,
RETRO,pt,Abewolu,abewolu,tb_only,tb_filtered_base,True,item.5329.name,item:5329,True,False,False,False,Abewolu,,,,,kept_neologism,,,
RETRO,pt,Abipaca,abipaca,tb_only,tb_filtered_base,True,item.5828.name,item:5828,True,False,False,False,Abipaca,,,,,kept_neologism,,,
RETRO,pt,Abissalino,abissalino,tb_only,tb_filtered_base,True,item.15223.name | monster.1219.name | ttg_entity.1219.name,item:15223,True,False,False,False,Abissalino,,,,,kept_neologism,,,
RETRO,pt,Ablaru,ablaru,tb_only,tb_filtered_base,True,npc.964.name,npc:964,True,False,False,False,Ablaru,,,,,kept_neologism,,,
RETRO,pt,Abomirol,abomirol,tb_only,tb_filtered_base,True,item.3561.name,item:3561,True,False,False,False,Abomirol,,,,,kept_neologism,,,
RETRO,pt,Aboub,aboub,tb_only,tb_filtered_base,True,item.15137.name | monster.2384.name | monster.353.name | monster.355.name | monster.384.name | ttg_entity.384.name,item:15137,True,False,False,False,Aboub,,,,,kept_neologism,,,
RETRO,pt,Abraknyde,abraknyde,tb_only,tb_filtered_base,True,item.10489.name,item:10489,True,False,False,False,Abraknyde,,,,,kept_neologism,,,
RETRO,pt,Abrazelon,abrazelon,tb_only,tb_filtered_base,True,npc.497.name,npc:497,True,False,False,False,Abrazelon,,,,,kept_neologism,,,
RETRO,pt,Abópota,abópota,tb_only,tb_filtered_base,True,item.8162.name,item:8162,True,False,False,False,Abópota,,,,,kept_neologism,,,
RETRO,pt,Acabague,acabague,tb_only,tb_filtered_base,True,item.4559.name,item:4559,True,False,False,False,Acabague,,,,,kept_neologism,,,
RETRO,pt,Acaplut,acaplut,tb_only,tb_filtered_base,True,item.4664.name,item:4664,True,False,False,False,Acaplut,,,,,kept_neologism,,,
RETRO,pt,Ace,ace,tb_only,tb_filtered_base,True,npc.358.name,npc:358,True,False,False,False,Ace,,,,,kept_neologism,,,
RETRO,pt,Acebavec,acebavec,tb_only,tb_filtered_base,True,item.6109.name,item:6109,True,False,False,False,Acebavec,,,,,kept_neologism,,,
RETRO,pt,Acebugu,acebugu,tb_only,tb_filtered_base,True,item.6234.name,item:6234,True,False,False,False,Acebugu,,,,,kept_neologism,,,
RETRO,pt,Acehofa,acehofa,tb_only,tb_filtered_base,True,item.3675.name,item:3675,True,False,False,False,Acehofa,,,,,kept_neologism,,,
RETRO,pt,Acidrik,acidrik,tb_only,tb_filtered_base,True,npc.729.name | quest-step.215.name | quest-step.216.name | quest-step.217.name | quest.127.name,npc:729,True,False,False,False,Acidrik,,,,,kept_neologism,,,
RETRO,pt,Aclou,aclou,tb_only,tb_filtered_base,True,item.1399.name | item.766.name,item:1399,True,False,False,False,Aclou,,,,,kept_neologism,,,
RETRO,pt,Acofituf,acofituf,tb_only,tb_filtered_base,True,item.4662.name,item:4662,True,False,False,False,Acofituf,,,,,kept_neologism,,,
RETRO,pt,Acoseude,acoseude,tb_only,tb_filtered_base,True,item.3854.name,item:3854,True,False,False,False,Acoseude,,,,,kept_neologism,,,
RETRO,pt,Actio,actio,tb_only,tb_filtered_base,True,item.16002.name | item.16013.name | item.16024.name | item.16338.name | item.16339.name | item.16340.name,item:16002,True,False,False,False,Actio,,,,,kept_neologism,,,
RETRO,pt,Acudob,acudob,tb_only,tb_filtered_base,True,item.5609.name,item:5609,True,False,False,False,Acudob,,,,,kept_neologism,,,
RETRO,pt,Acugrau,acugrau,tb_only,tb_filtered_base,True,item.5372.name,item:5372,True,False,False,False,Acugrau,,,,,kept_neologism,,,
RETRO,pt,Aculepa,aculepa,tb_only,tb_filtered_base,True,item.3885.name,item:3885,True,False,False,False,Aculepa,,,,,kept_neologism,,,
RETRO,pt,AdagaUletet,adagauletet,tb_only,tb_filtered_base,True,item.3630.name,item:3630,True,False,False,False,AdagaUletet,,,,,kept_neologism,,,
RETRO,pt,Adageola,adageola,tb_only,tb_filtered_base,True,item.6151.name,item:6151,True,False,False,False,Adageola,,,,,kept_neologism,,,
RETRO,pt,Adaguisas,adaguisas,tb_only,tb_filtered_base,True,item.897.name,item:897,True,False,False,False,Adaguisas,,,,,kept_neologism,,,
RETRO,pt,Adaguises,adaguises,tb_only,tb_filtered_base,True,item.899.name,item:899,True,False,False,False,Adaguises,,,,,kept_neologism,,,
RETRO,pt,Adamu,adamu,tb_only,tb_filtered_base,True,item.3867.name,item:3867,True,False,False,False,Adamu,,,,,kept_neologism,,,
RETRO,pt,Adaumu,adaumu,tb_only,tb_filtered_base,True,item.2941.name,item:2941,True,False,False,False,Adaumu,,,,,kept_neologism,,,
RETRO,pt,Adelus,adelus,tb_only,tb_filtered_base,True,item.1487.name,item:1487,True,False,False,False,Adelus,,,,,kept_neologism,,,
RETRO,pt,Adepouille,adepouille,tb_only,tb_filtered_base,True,item.2742.name,item:2742,True,False,False,False,Adepouille,,,,,kept_neologism,,,
RETRO,pt,Adili,adili,tb_only,tb_filtered_base,True,item.3275.name,item:3275,True,False,False,False,Adili,,,,,kept_neologism,,,
RETRO,pt,Adode,adode,tb_only,tb_filtered_base,True,item.2933.name,item:2933,True,False,False,False,Adode,,,,,kept_neologism,,,
RETRO,pt,Adonop,adonop,tb_only,tb_filtered_base,True,item.3622.name,item:3622,True,False,False,False,Adonop,,,,,kept_neologism,,,
RETRO,pt,adorário,adorário,tb_only,tb_filtered_base,True,quest-step.483.name,quest-step:483,True,False,False,False,adorário,,,,,kept_neologism,,,
RETRO,pt,Adossia,adossia,tb_only,tb_filtered_base,True,item.8649.name,item:8649,True,False,False,False,Adossia,,,,,kept_neologism,,,
RETRO,pt,Adydele,adydele,tb_only,tb_filtered_base,True,item.5475.name,item:5475,True,False,False,False,Adydele,,,,,kept_neologism,,,
RETRO,pt,Aegefauc,aegefauc,tb_only,tb_filtered_base,True,item.4946.name,item:4946,True,False,False,False,Aegefauc,,,,,kept_neologism,,,
RETRO,pt,Aekawaul,aekawaul,tb_only,tb_filtered_base,True,item.5758.name,item:5758,True,False,False,False,Aekawaul,,,,,kept_neologism,,,
RETRO,pt,Aelab,aelab,tb_only,tb_filtered_base,True,item.3166.name,item:3166,True,False,False,False,Aelab,,,,,kept_neologism,,,
RETRO,pt,Aeladague,aeladague,tb_only,tb_filtered_base,True,item.3835.name,item:3835,True,False,False,False,Aeladague,,,,,kept_neologism,,,
RETRO,pt,Aelefoma,aelefoma,tb_only,tb_filtered_base,True,item.3717.name,item:3717,True,False,False,False,Aelefoma,,,,,kept_neologism,,,
RETRO,pt,Aelelae,aelelae,tb_only,tb_filtered_base,True,item.3592.name,item:3592,True,False,False,False,Aelelae,,,,,kept_neologism,,,
